0.0000,0.0000,0.33572,0.35020
0.010000,0.0000,0.33598,0.34999
0.020000,0.0000,0.33614,0.34989
0.030000,0.0000,0.33608,0.35000
0.040000,0.0000,0.33577,0.35035
0.050000,0.0000,0.33522,0.35092
0.060000,0.0000,0.33448,0.35166
0.070000,0.0000,0.33358,0.35252
0.080000,0.0000,0.33259,0.35344
0.090000,0.0000,0.33154,0.35439
0.10000,0.0000,0.33047,0.35531
0.11000,0.0000,0.32945,0.35616
0.12000,0.0000,0.32849,0.35691
0.13000,0.0000,0.32763,0.35753
0.14000,0.0000,0.32689,0.35800
0.15000,0.0000,0.32630,0.35830
0.16000,0.0000,0.32587,0.35842
0.17000,0.0000,0.32559,0.35837
0.18000,0.0000,0.32548,0.35816
0.19000,0.0000,0.32551,0.35781
0.20000,0.0000,0.32568,0.35733
0.21000,0.0000,0.32595,0.35676
0.22000,0.0000,0.32632,0.35613
0.23000,0.0000,0.32674,0.35546
0.24000,0.0000,0.32720,0.35480
0.25000,0.0000,0.32765,0.35417
0.26000,0.0000,0.32807,0.35359
0.27000,0.0000,0.32845,0.35311
0.28000,0.0000,0.32875,0.35273
0.29000,0.0000,0.32896,0.35246
0.30000,0.0000,0.32907,0.35233
0.31000,0.0000,0.32908,0.35233
0.32000,0.0000,0.32899,0.35246
0.33000,0.0000,0.32881,0.35271
0.34000,0.0000,0.32855,0.35307
0.35000,0.0000,0.32823,0.35352
0.36000,0.0000,0.32788,0.35403
0.37000,0.0000,0.32753,0.35458
0.38000,0.0000,0.32720,0.35515
0.39000,0.0000,0.32691,0.35569
0.40000,0.0000,0.32671,0.35618
0.41000,0.0000,0.32661,0.35659
0.42000,0.0000,0.32663,0.35689
0.43000,0.0000,0.32680,0.35706
0.44000,0.0000,0.32711,0.35709
0.45000,0.0000,0.32758,0.35695
0.46000,0.0000,0.32820,0.35665
0.47000,0.0000,0.32896,0.35620
0.48000,0.0000,0.32985,0.35559
0.49000,0.0000,0.33084,0.35487
0.50000,0.0000,0.33192,0.35403
0.51000,0.0000,0.33304,0.35312
0.52000,0.0000,0.33420,0.35216
0.53000,0.0000,0.33534,0.35118
0.54000,0.0000,0.33645,0.35021
0.55000,0.0000,0.33750,0.34928
0.56000,0.0000,0.33846,0.34842
0.57000,0.0000,0.33931,0.34764
0.58000,0.0000,0.34004,0.34696
0.59000,0.0000,0.34063,0.34640
0.60000,0.0000,0.34109,0.34596
0.61000,0.0000,0.34140,0.34564
0.62000,0.0000,0.34158,0.34544
0.63000,0.0000,0.34163,0.34535
0.64000,0.0000,0.34156,0.34537
0.65000,0.0000,0.34139,0.34549
0.66000,0.0000,0.34112,0.34570
0.67000,0.0000,0.34078,0.34597
0.68000,0.0000,0.34038,0.34630
0.69000,0.0000,0.33994,0.34668
0.70000,0.0000,0.33947,0.34708
0.71000,0.0000,0.33898,0.34750
0.72000,0.0000,0.33850,0.34793
0.73000,0.0000,0.33802,0.34835
0.74000,0.0000,0.33756,0.34876
0.75000,0.0000,0.33712,0.34915
0.76000,0.0000,0.33672,0.34950
0.77000,0.0000,0.33636,0.34983
